populacao,municipio,cod_mun,ano
2627,Carmolândia,1703883,2021
4165,Carrasco Bonito,1703891,2021
5514,Caseara,1703909,2021
2966,Centenário,1704105,2021
1415,Chapada de Areia,1704600,2021
3330,Chapada da Natividade,1705102,2021
36271,Colinas do Tocantins,1705508,2021
4870,Combinado,1705557,2021
4070,Conceição do Tocantins,1705607,2021
5690,Couto Magalhães,1706001,2021
7268,Cristalândia,1706100,2021
1749,Crixás do Tocantins,1706258,2021
6250,Darcinópolis,1706506,2021
22704,Dianópolis,1707009,2021
6986,Divinópolis do Tocantins,1707108,2021
7173,Dois Irmãos do Tocantins,1707207,2021
4686,Dueré,1707306,2021
11280,Esperantina,1707405,2021
3824,Fátima,1707553,2021
5222,Figueirópolis,1707652,2021
8892,Filadélfia,1707702,2021
18358,Formoso do Araguaia,1708205,2021
2615,Tabocão,1708254,2021
5136,Goianorte,1708304,2021
13169,Goiatins,1709005,2021
26403,Guaraí,1709302,2021
88428,Gurupi,1709500,2021
2088,Ipueiras,1709807,2021
7471,Itacajá,1710508,2021
5801,Itaguatins,1710706,2021
3814,Itapiratins,1710904,2021
2412,Itaporã do Tocantins,1711100,2021
3906,Jaú do Tocantins,1711506,2021
2174,Juarina,1711803,2021
13989,Lagoa da Confusão,1711902,2021
4470,Lagoa do Tocantins,1711951,2021
3199,Lajeado,1712009,2021
1984,Lavandeira,1712157,2021
3727,Lizarda,1712405,2021
3200,Luzinópolis,1712454,2021
5332,Marianópolis do Tocantins,1712504,2021
2773,Mateiros,1712702,2021
3470,Maurilândia do Tocantins,1712801,2021
17628,Miracema do Tocantins,1713205,2021
13551,Miranorte,1713304,2021
8182,Monte do Carmo,1713601,2021
2311,Monte Santo do Tocantins,1713700,2021
6830,Palmeiras do Tocantins,1713809,2021
3623,Muricilândia,1713957,2021
9256,Natividade,1714203,2021
3772,Nazaré,1714302,2021
12014,Nova Olinda,1714880,2021
4348,Nova Rosalândia,1715002,2021
4450,Novo Acordo,1715101,2021
2332,Novo Alegre,1715150,2021
2768,Novo Jardim,1715259,2021
1124,Oliveira de Fátima,1715507,2021
6234,Palmeirante,1715705,2021
7694,Palmeirópolis,1715754,2021
52521,Paraíso do Tocantins,1716109,2021
10426,Paranã,1716208,2021
4885,Pau D'Arco,1716307,2021
13964,Pedro Afonso,1716505,2021
11996,Peixe,1716604,2021
5546,Pequizeiro,1716653,2021
8078,Colméia,1716703,2021
4414,Pindorama do Tocantins,1717008,2021
3038,Piraquê,1717206,2021
7830,Pium,1717503,2021
4586,Ponte Alta do Bom Jesus,1717800,2021
8192,Ponte Alta do Tocantins,1717909,2021
3200,Porto Alegre do Tocantins,1718006,2021
53618,Porto Nacional,1718204,2021
8563,Praia Norte,1718303,2021
3668,Presidente Kennedy,1718402,2021
2746,Pugmil,1718451,2021
4389,Recursolândia,1718501,2021
4723,Riachinho,1718550,2021
2211,Rio da Conceição,1718659,2021
2879,Rio dos Bois,1718709,2021
6498,Rio Sono,1718758,2021
4876,Sampaio,1718808,2021
3371,Sandolândia,1718840,2021
7678,Santa Fé do Araguaia,1718865,2021
3537,Santa Maria do Tocantins,1718881,2021
2407,Santa Rita do Tocantins,1718899,2021
4864,Santa Rosa do Tocantins,1718907,2021
2928,Santa Tereza do Tocantins,1719004,2021
2530,Santa Terezinha do Tocantins,1720002,2021
5457,São Bento do Tocantins,1720101,2021
1610,São Félix do Tocantins,1720150,2021
12445,São Miguel do Tocantins,1720200,2021
3106,São Salvador do Tocantins,1720259,2021
4898,São Sebastião do Tocantins,1720309,2021
3848,São Valério,1720499,2021
5452,Silvanópolis,1720655,2021
8965,Sítio Novo do Tocantins,1720804,2021
2007,Sucupira,1720853,2021
16966,Taguatinga,1720903,2021
2183,Taipas do Tocantins,1720937,2021
2831,Talismã,1720978,2021
313349,Palmas,1721000,2021
7688,Tocantínia,1721109,2021
22820,Tocantinópolis,1721208,2021
1952,Tupirama,1721257,2021
2785,Tupiratins,1721307,2021
11783,Wanderlândia,1722081,2021
11500,Xambioá,1722107,2021
113783,Açailândia,2100055,2021
6631,Afonso Cunha,2100105,2021
12731,Água Doce do Maranhão,2100154,2021
22126,Alcântara,2100204,2021
26979,Aldeias Altas,2100303,2021
8250,Altamira do Maranhão,2100402,2021
28066,Alto Alegre do Maranhão,2100436,2021
31967,Alto Alegre do Pindaré,2100477,2021
11233,Alto Parnaíba,2100501,2021
7047,Amapá do Maranhão,2100550,2021
42017,Amarante do Maranhão,2100600,2021
27170,Anajatuba,2100709,2021
16054,Anapurus,2100808,2021
17582,Apicum,2100832,2021
15675,Araguanã,2100873,2021
47095,Araioses,2100907,2021
32825,Arame,2100956,2021
30014,Arari,2101004,2021
12234,Axixá,2101103,2021
105094,Bacabal,2101202,2021
17446,Bacabeira,2101251,2021
18726,Bacuri,2101301,2021
5696,Bacurituba,2101350,2021
96951,Balsas,2101400,2021
19026,Barão de Grajaú,2101509,2021
88895,Barra do Corda,2101608,2021
63891,Barreirinhas,2101707,2021
7586,Belágua,2101731,2021
11347,Bela Vista do Maranhão,2101772,2021
5643,Benedito Leite,2101806,2021
