pib,municipio,cod_mun,ano
58704,Capitão Gervásio Oliveira,2202455,2023
127543,Caracol,2202505,2023
67977,Caraúbas do Piauí,2202539,2023
72564,Caridade do Piauí,2202554,2023
234521,Castelo do Piauí,2202604,2023
68616,Caxingó,2202653,2023
351832,Cocal,2202703,2023
60324,Cocal de Telha,2202711,2023
73414,Cocal dos Alves,2202729,2023
50029,Coivaras,2202737,2023
92949,Colônia do Gurguéia,2202752,2023
82383,Colônia do Piauí,2202778,2023
88408,Conceição do Canindé,2202802,2023
55718,Coronel José Dias,2202851,2023
764222,Corrente,2202901,2023
89547,Cristalândia do Piauí,2203008,2023
155696,Cristino Castro,2203107,2023
186259,Curimatá,2203206,2023
569946,Currais,2203230,2023
53723,Curralinhos,2203255,2023
98620,Curral Novo do Piauí,2203271,2023
343573,Demerval Lobão,2203305,2023
89611,Dirceu Arcoverde,2203354,2023
93969,Dom Expedito Lopes,2203404,2023
55943,Domingos Mourão,2203420,2023
212410,Dom Inocêncio,2203453,2023
208873,Elesbão Veloso,2203503,2023
65844,Eliseu Martins,2203602,2023
630893,Esperantina,2203701,2023
63132,Fartura do Piauí,2203750,2023
55149,Flores do Piauí,2203800,2023
31642,Floresta do Piauí,2203859,2023
1693508,Floriano,2203909,2023
57191,Francinópolis,2204006,2023
66833,Francisco Ayres,2204105,2023
37456,Francisco Macedo,2204154,2023
111541,Francisco Santos,2204204,2023
140145,Fronteiras,2204303,2023
