NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,40,Mil Reais,248270,1502509,Chaves - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,100969,1502608,Colares - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,662825,1502707,Conceição do Araguaia - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,420236,1502756,Concórdia do Pará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,406927,1502764,Cumaru do Norte - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,3667341,1502772,Curionópolis - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,282512,1502806,Curralinho - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,149717,1502855,Curuá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,369777,1502905,Curuçá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,940611,1502939,Dom Eliseu - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,556042,1502954,Eldorado do Carajás - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,76730,1503002,Faro - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,602623,1503044,Floresta do Araguaia - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,276033,1503077,Garrafão do Norte - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,506638,1503093,Goianésia do Pará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,334287,1503101,Gurupá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,415894,1503200,Igarapé-Açu - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,691233,1503309,Igarapé-Miri - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,174628,1503408,Inhangapi - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,625213,1503457,Ipixuna do Pará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,278006,1503507,Irituia - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,3078558,1503606,Itaituba - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,841956,1503705,Itupiranga - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,625760,1503754,Jacareacanga - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,615695,1503804,Jacundá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1451756,1503903,Juruti - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,503051,1504000,Limoeiro do Ajuru - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,340311,1504059,Mãe do Rio - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,98432,1504109,Magalhães Barata - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,13523145,1504208,Marabá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,289997,1504307,Maracanã - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,263657,1504406,Marapanim - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2578541,1504422,Marituba - PA,2021,2021,37,Produto Interno Bruto a preços correntes
