NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,45,Pessoas,116058,1501808,Breves - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25065,1501907,Bujaru - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19223,1501956,Cachoeira do Piriá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25467,1502004,Cachoeira do Arari - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,144859,1502103,Cametá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,89524,1502152,Canaã dos Carajás - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,75309,1502202,Capanema - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,60318,1502301,Capitão Poço - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,209126,1502400,Castanhal - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21501,1502509,Chaves - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,13625,1502608,Colares - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,47144,1502707,Conceição do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28270,1502756,Concórdia do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15150,1502764,Cumaru do Norte - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20975,1502772,Curionópolis - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,36814,1502806,Curralinho - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,14954,1502855,Curuá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,44880,1502905,Curuçá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,62823,1502939,Dom Eliseu - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,29287,1502954,Eldorado do Carajás - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,9167,1503002,Faro - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,18595,1503044,Floresta do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25558,1503077,Garrafão do Norte - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,26703,1503093,Goianésia do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,34137,1503101,Gurupá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,37925,1503200,Igarapé-Açu - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,69446,1503309,Igarapé-Miri - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,10784,1503408,Inhangapi - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,29264,1503457,Ipixuna do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,32740,1503507,Irituia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,135369,1503606,Itaituba - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,52201,1503705,Itupiranga - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,26579,1503754,Jacareacanga - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,37726,1503804,Jacundá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,54255,1503903,Juruti - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,32088,1504000,Limoeiro do Ajuru - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,37473,1504059,Mãe do Rio - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,8439,1504109,Magalhães Barata - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,290975,1504208,Marabá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,27129,1504307,Maracanã - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28159,1504406,Marapanim - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,119437,1504422,Marituba - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28677,1504455,Medicilândia - PA,2025,2025,9324,População residente estimada
